% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1300.00,54.3667,43.9208,0.5894,84.9783,1734,1300,0.6729,0.7497,40.6843,274.7970,'Text'
1364.00,50.3377,46.4322,0.3862,-71.5730,1755,1464,0.6446,0.7772,41.6737,219.5200,'Text'
1272.00,49.1396,46.7852,0.3058,-75.2233,1663,1368,0.6570,0.7649,40.2438,208.8020,'Text'
1100.00,63.5527,37.1402,0.8115,-77.3158,1806,1100,0.4850,0.6091,37.4241,210.4560,'Text'
1372.00,60.6382,39.5913,0.7574,38.2162,1819,1372,0.5277,0.7543,41.7957,235.9940,'Text'
60.00,34.6410,2.3094,0.9978,0.0000,60,60,1.0000,1.0000,8.7404,58.4360,'Noise'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
1504.00,68.2193,45.7768,0.7414,77.9343,2187,1796,0.5273,0.6877,43.7602,210.8530,'Text'
1428.00,72.1616,47.2971,0.7553,-64.3993,2325,1428,0.4851,0.6142,42.6402,288.4260,'Text'
1272.00,49.9076,46.8190,0.3463,-81.3002,1691,1380,0.6285,0.7522,40.2438,210.8530,'Text'
1300.00,57.8176,48.9364,0.5326,-54.7486,1973,1300,0.5652,0.6589,40.6843,260.9860,'Text'
1884.00,70.9471,55.0147,0.6314,-89.5380,2837,1884,0.6331,0.6641,48.9774,369.6710,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1456.00,70.8571,45.1940,0.7702,75.7152,2253,1816,0.5337,0.6462,43.0562,212.5070,'Text'
2012.00,88.2518,53.7441,0.7932,41.0874,3352,2464,0.4120,0.6002,50.6138,290.2620,'Text'
1308.00,52.2450,45.6526,0.4863,-86.0500,1777,1432,0.6181,0.7361,40.8093,224.0520,'Text'
1108.00,62.5476,36.3323,0.8140,-81.5382,1761,1108,0.5130,0.6292,37.5599,213.9460,'Text'
1052.00,59.1470,38.6111,0.7575,79.5430,1724,1052,0.5218,0.6102,36.5985,206.9330,'Text'
4044.00,161.0234,54.9746,0.9399,-2.0943,6293,4504,0.6191,0.6426,71.7564,602.3570,'Text'
1340.00,53.9600,44.0594,0.5773,80.3917,1724,1480,0.6936,0.7773,41.3055,215.3850,'Text'
1288.00,82.3590,33.7156,0.9124,-83.4881,2238,1288,0.4435,0.5755,40.4961,234.5880,'Text'
1164.00,72.5880,35.5923,0.8715,-85.5822,2041,1164,0.4619,0.5703,38.4974,230.0560,'Text'
56.00,32.3316,2.3094,0.9974,0.0000,56,56,1.0000,1.0000,8.4440,54.5160,'Noise'
1436.00,68.6580,46.1811,0.7400,27.2913,2239,1436,0.4952,0.6414,42.7595,269.6200,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
1512.00,69.3940,44.1848,0.7711,78.1042,2106,1812,0.5543,0.7179,43.8764,202.4010,'Text'
1244.00,50.7524,45.6545,0.4368,-85.4623,1665,1364,0.6439,0.7471,39.7984,213.3340,'Text'
1236.00,51.4074,42.9466,0.5496,83.7999,1615,1236,0.7023,0.7653,39.6702,266.1300,'Text'
1686.00,81.7161,45.4541,0.8310,-85.7092,2749,1686,0.5639,0.6133,46.3323,346.6720,'Text'
1304.00,57.7528,48.2619,0.5492,-59.3457,1930,1304,0.5670,0.6756,40.7468,263.2520,'Text'
1176.00,51.5530,47.8138,0.3739,72.9304,1640,1552,0.5810,0.7171,38.6953,153.9220,'Text'
1108.00,51.8028,48.3983,0.3565,74.2587,1598,1536,0.5735,0.6934,37.5599,150.0020,'Text'
1068.00,64.8639,36.5210,0.8264,-79.5424,1726,1068,0.5019,0.6188,36.8757,207.9750,'Text'
1052.00,61.0176,37.2542,0.7920,75.0495,1734,1052,0.5198,0.6067,36.5985,202.4010,'Text'
1564.00,80.6001,46.5632,0.8162,-88.0697,2611,1564,0.5733,0.5990,44.6245,356.6870,'Text'
1252.00,51.5718,44.6980,0.4988,-82.6936,1659,1364,0.6480,0.7547,39.9261,208.5870,'Text'
1064.00,64.4255,35.7391,0.8320,-80.6361,1689,1064,0.5185,0.6300,36.8066,207.1480,'Text'
1188.00,84.7352,32.9018,0.9215,-86.3118,2285,1188,0.4790,0.5199,38.8923,233.1490,'Text'
1688.00,68.4307,44.3010,0.7622,27.0814,2270,1920,0.5672,0.7436,46.3598,211.6800,'Text'
2176.00,95.0323,44.7017,0.8825,40.7019,3270,2336,0.3974,0.6654,52.6362,282.8190,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
1504.00,74.3924,44.9745,0.7966,-62.5719,2307,1504,0.4852,0.6519,43.7602,285.9450,'Text'
1480.00,73.6486,45.7050,0.7841,-64.6102,2431,1480,0.4625,0.6088,43.4096,299.1440,'Noise'
