% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1364.00,62.8938,43.2770,0.7256,35.4292,1980,1364,0.5112,0.6889,41.6737,253.7580,'Text'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
1280.00,56.0867,49.2090,0.4798,-47.4486,1957,1280,0.5594,0.6541,40.3701,270.8770,'Text'
1068.00,62.4477,35.4420,0.8233,-78.5197,1734,1068,0.4709,0.6159,36.8757,207.1480,'Text'
1044.00,59.4862,38.5553,0.7615,77.6038,1773,1044,0.4934,0.5888,36.4590,206.3210,'Text'
1084.00,74.6097,35.5363,0.8793,-86.1857,2030,1084,0.4302,0.5340,37.1509,236.2420,'Text'
1256.00,52.2494,46.6702,0.4496,-82.6029,1784,1400,0.5688,0.7040,39.9899,224.8790,'Text'
1028.00,56.9870,40.6562,0.7007,80.5129,1762,1028,0.5079,0.5834,36.1786,211.0680,'Text'
1172.00,73.0328,41.5492,0.8224,74.2414,2018,1172,0.4393,0.5808,38.6295,271.4890,'Text'
1248.00,50.9445,47.5231,0.3603,-69.0796,1737,1364,0.5898,0.7185,39.8623,220.3470,'Text'
1248.00,51.4738,44.4642,0.5038,84.7247,1675,1248,0.6460,0.7451,39.8623,275.4090,'Text'
1064.00,63.8455,37.0180,0.8148,-77.9611,1759,1064,0.4926,0.6049,36.8066,215.6000,'Text'
1252.00,49.4996,47.9273,0.2500,-80.8645,1714,1360,0.6186,0.7305,39.9261,221.1740,'Text'
1696.00,72.6303,46.1958,0.7717,-89.1946,2450,2056,0.6217,0.6922,46.4695,241.1710,'Text'
1112.00,72.4021,34.8610,0.8765,-81.8794,2067,1112,0.4029,0.5380,37.6277,242.2130,'Text'
1280.00,49.3156,46.9531,0.3058,-80.7346,1701,1392,0.6324,0.7525,40.3701,216.4270,'Text'
1272.00,51.3101,47.0588,0.3986,-87.0032,1702,1388,0.6584,0.7474,40.2438,216.6420,'Text'
932.00,62.5159,35.2956,0.8254,-75.2241,1592,932,0.4824,0.5854,34.4479,191.8980,'Text'
1224.00,48.4937,45.9922,0.3170,-69.8368,1601,1328,0.6623,0.7645,39.4771,212.5070,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
476.00,32.9098,21.6954,0.7519,87.4892,583,476,0.6761,0.8165,24.6183,104.0040,'Text'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
76.00,43.8786,2.3094,0.9986,0.0000,76,76,1.0000,1.0000,9.8370,74.1160,'Noise'
60.00,34.6410,2.3094,0.9978,0.0000,60,60,1.0000,1.0000,8.7404,58.4360,'Noise'
204.00,18.2133,14.5300,0.6030,16.6991,215,204,0.8095,0.9488,16.1165,52.6470,'Text'
1900.00,75.5340,49.3735,0.7568,40.3244,2929,1900,0.4887,0.6487,49.1849,291.9160,'Text'
92.00,53.1162,2.3094,0.9991,0.0000,92,92,1.0000,1.0000,10.8230,89.7960,'Noise'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
8.00,4.6188,2.3094,0.8660,0.0000,8,8,1.0000,1.0000,3.1915,7.4760,'Noise'
132.00,76.2102,2.3094,0.9995,0.0000,132,132,1.0000,1.0000,12.9641,128.9960,'Noise'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
1224.00,50.9947,44.7714,0.4787,80.6183,1642,1496,0.6623,0.7454,39.4771,167.3360,'Text'
1320.00,58.6679,48.1847,0.5705,-45.5219,1979,1680,0.5769,0.6670,40.9961,185.2820,'Text'
1072.00,63.0520,37.3318,0.8059,-80.9136,1746,1072,0.4963,0.6140,36.9447,212.5070,'Text'
2920.00,93.2369,61.0148,0.7561,22.3858,4174,3120,0.4771,0.6996,60.9743,388.8410,'Text'
1260.00,74.1287,42.2302,0.8219,74.8283,2185,1260,0.4375,0.5767,40.0535,271.4890,'Text'
